Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198600564,0.169456936,0.173962391,0.139492301,0.127386578,0.111639756,0.107173913,0.102255636,0.099369415,0.099051219,0.166552325,0.180523335,0.181390813,0.184549671,0.187054711,0.186599365,0.189937143,0.190059132,0.193546026,0.299773735,5.464716202,5.661788966,6.855849661,6.894805132,6.922233528,,,
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.92453259,17.03644328,26.52162715,30.5856688,32.7962497,35.0756412,37.94574925,41.43260098,44.0943196,52.18576969,54.24314016,54.05503375,43.56611455,41.73546975,49.1882979,40.8591841,37.13725354,33.86258384,21.34371431,17.81385523,14.83980856,10.79382842,13.97358428,14.2784545,16.74899642,,,
Angola,AGO,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.25523057,71.88862159,72.72325963,71.27704047,72.22025166,73.94586839,73.1396021,73.73441751,76.81978428,73.4107992,74.61817619,73.75785022,72.12512104,67.30612009,65.49305828,70.9541867,65.02257509,61.59968988,58.10798497,55.74897111,54.19382515,52.71568659,52.24573331,50.68611065,50.79746645,,,
Albania,ALB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.51808666,32.99816677,46.81332418,51.15204856,51.45954357,50.60972146,51.6363628,55.95335306,49.98335555,42.71831427,41.44540901,39.12566318,35.89629494,33.75273352,35.93587219,36.86948271,31.7101944,32.10093689,35.91290331,37.21663939,37.1153302,35.9625312,40.0482966,41.2889785,38.6894966,,,
Andorra,AND,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.27355021,14.27355021,14.30875446,13.91895459,14.56102442,14.48104808,14.1000476,14.19400246,14.45864172,14.54989525,14.89066862,15.77387265,16.22181888,16.91230759,16.87442391,16.90244164,17.48599629,16.94077654,17.4227398,17.51595123,19.09072661,18.97154122,19.19553401,19.56370067,19.88632671,,,
Arab World,ARB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.855062485,7.678697321,7.255778336,7.0648177,7.221895627,7.121167193,7.102946302,7.581508971,7.144055032,6.74417437,6.609492188,6.428116504,6.280341153,6.379258787,6.717755177,6.376818063,6.191523086,5.607123957,5.155973146,5.062191154,4.854648222,4.701779976,4.179735966,4.23188684,4.184590201,,,
United Arab Emirates,ARE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.188369192,0.15035621,0.120145338,0.112604484,0.080332352,0.076355663,0.072469917,0.071648547,0.076377169,0.064705852,0.066607541,0.06636053,0.100562178,0.105394824,0.120338084,0.119256369,0.118359828,0.118833695,0.122595569,0.120926656,0.119840695,0.132212906,0.16780695,,,
Argentina,ARG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.92290362,8.748181493,9.471647434,10.12834112,10.73491194,11.20518622,10.19385595,10.99907131,11.34301176,10.3061727,11.07795314,13.04037458,13.28798057,12.51812905,8.348045501,8.957602249,10.18784332,8.887650447,7.609687218,8.574059519,8.961445508,10.11684811,9.866700211,10.22085513,10.77312486,,,
Armenia,ARM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.118944532,2.309435787,6.67767892,12.93683351,17.76365284,9.274352815,12.47330288,10.1201135,9.380562635,8.35879659,7.164263086,5.41911273,8.899367508,9.81161511,8.707899344,6.491174067,7.652835568,7.017262019,6.405167596,7.800555626,9.359817226,8.009615454,6.565711789,6.771217775,7.724733865,,,
American Samoa,ASM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702426564,0.703140481,0.700882475,,,
Antigua and Barbuda,ATG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Australia,AUS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.009578621,8.245472342,7.516469953,8.616992278,8.259947162,8.217805732,8.865971097,9.080243767,8.595072811,8.507273372,8.423342447,8.37028223,8.738721325,7.139003177,6.668828026,6.711975736,6.857191372,6.951585842,6.797058895,6.765441146,8.552761415,8.472197885,8.443705227,9.320593129,9.497567815,,,
Austria,AUT,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.13575205,24.49580089,26.136786,26.35781192,25.67945396,25.6300865,24.03687316,24.8710469,24.40935605,26.43830598,26.38785253,25.48367936,24.68486486,22.57879837,23.2193694,24.06483909,26.34641378,28.81565861,29.49512238,30.77362771,30.94887862,31.27288857,33.70120289,34.68700175,35.78392667,,,
Azerbaijan,AZE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.722062668,0.80464639,1.217250464,1.983066159,1.515960868,1.366840186,1.738902542,1.989848892,2.484381284,2.143936059,2.065645882,1.752523348,2.351898735,2.944781972,3.07078459,3.36519599,2.861586974,3.788700037,3.086307465,3.269144672,4.44973384,3.556331944,2.845521785,2.52609487,2.116818483,,,
Burundi,BDI,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.20067049,94.23865398,94.99578884,94.90708829,95.11795922,95.11183545,95.18932262,95.24278518,95.26169974,93.74959481,93.22568998,96.23083281,96.15680118,97.01558475,97.26518045,97.29141525,96.85641002,96.89274673,96.84611356,96.91966313,96.75783005,96.59420149,93.95870163,94.06923918,90.04661449,,,
